,ID,comments,cleaned_comments
2955,3qX1ZU3jcfU,BUT I WANT THE NEXT TOHO ONE A READY NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNGGGGGGGGGGGGGGGGGGGGGGGGGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,want next toho one readi nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnngggggggggggggggggggggggggaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
2956,3qX1ZU3jcfU,ITS NOT NEW IS PROB THE DUB,new prob dub
2957,3qX1ZU3jcfU,"A new Godzilla movie, huh?",new godzilla movi huh
2958,3qX1ZU3jcfU,epic!!!!!!!,epic
2959,3qX1ZU3jcfU,Another Godzilla movie?,anoth godzilla movi
2960,zVuuooZqVaU,"siempre que veo este trailer o la película.. acabo llorando a mares... es la única peli romántica que me encanta...  <a href=""http://www.youtube.com/results?search_query=%23INeedMyDexter"">#INeedMyDexter</a>  :)",siempr que veo est trailer la pel cula acabo llorando mare es la nica peli rom ntica que encanta ineedmydext
2961,zVuuooZqVaU,"Does anyone know the title of the piano music that plays at the beginning of the trailer, when Emma says &quot;When we were at university I had a crush on you&quot;?  It&#39;s not the Rachel Portman score.",anyon know titl piano music play begin trailer emma say quot univers crush quot rachel portman score
2962,zVuuooZqVaU,She dies right?,die right
2963,zVuuooZqVaU,I just finished watching this movie. My heart is broken :/,finish watch movi heart broken
2964,zVuuooZqVaU,"Haven&#39;t cried for 2 years... I&#39;m just not one for emotions... however i just cried for half an hour straight and now have puffy bloodshot eyes. I will not be watching this again. Ive used up all my emotions for the year, and its only march. So sad. So beautify. So real.",cri year one emot howev cri half hour straight puffi bloodshot eye watch ive use emot year march sad beautifi real
2965,zVuuooZqVaU,When she says go to hell in the restaurant in the film she really says go fuck yourself.,say go hell restaur film realli say go fuck
2966,zVuuooZqVaU,I loved the Book and this movie brought it to life! Just seen it again after being aired on Ch4! I&#39;m gonna have a little cry now lol,love book movi brought life seen air ch gon na littl cri lol
2967,zVuuooZqVaU,It&#39;s strange &amp; wonderful how your life can be entwined with someone else&#39;s no matter what you do or where you go!!!,strang amp wonder life entwin someon els matter go
2968,zVuuooZqVaU,"Haven&#39;t seen it yet, but it sure sounds like a clone of Alan Alda&#39;s &quot;Same Time Next Year&quot; (a wonderful film)",seen yet sure sound like clone alan alda quot time next year quot wonder film
2969,zVuuooZqVaU,I cried and it&#39;s just even an innocent trailer. Why can&#39;t people just realize who is worth apprecited when they still have the chance?,cri even innoc trailer peopl realiz worth apprecit still chanc
2970,zVuuooZqVaU,I remembered  I finished the whole book from start to the end in one flight from Edinburgh to Rome. Then I watched the movie. I felt such a sense of loss at the end. One of my favorite movies of all time.,rememb finish whole book start end one flight edinburgh rome watch movi felt sens loss end one favorit movi time
2971,zVuuooZqVaU,cry-cry-cry,cri cri cri
2972,zVuuooZqVaU,IM FREAKINNG OUT I READ THE BOOK AND ITS ONE OF MY FAVOURITES BUT I DIDN&#39;T EVEN KNOW THERE WAS A MOVIE OH MY GO D,im freakinng read book one favourit even know movi oh go
2973,zVuuooZqVaU,"que canción es ?? <a href=""http://www.youtube.com/watch?v=zVuuooZqVaU&amp;t=0m09s"">0:09</a> ??",que canci n es
2974,zVuuooZqVaU,"If i have to say the truth, i have to say that i hated it... because i loved it too much! I know this doesn&#39;t make much sense but this feeling of sadness i have right now won&#39;t leave for quite a while, and that makes me hate it, among with cruelty life shows in this movie... but i also love it. Really, deeply, truly love it. Its my favorite movie now, even when i&#39;m still crying.<br>im sorry if this comment is confusing, i really cant understand myself what i really wanted to say, it&#39;s just that i&#39;m writing this just after the movie finished and i have mixed feelings....<br>ps: the trailer is shit! this movie&#39;s beauty doesn&#39;t even compare to what this trailer shows.",say truth say hate love much know make much sens feel sad right leav quit make hate among cruelti life show movi also love realli deepli truli love favorit movi even still cri im sorri comment confus realli cant understand realli want say write movi finish mix feel ps trailer shit movi beauti even compar trailer show
2975,zVuuooZqVaU,"i just watched the movie and im still crying, what a wonderfull story, im upset they didn&#39;t fall in love earlier",watch movi im still cri wonderful stori im upset fall love earlier
2976,zVuuooZqVaU,Wtf man.. This movie killed me<br>,wtf man movi kill
